Decreased exercise tolerance:Moderate fatigue,Predicted Suboptimal Energy Intake NI1.6,E44.0 Moderate protein-calorie malnutrition
Decreased exercise tolerance:Severe fatigue,Predicted Suboptimal Energy Intake NI1.6,E43 Unspecified Severe Protein-Calorie Malnutrition
Difficulty breathing:Moderate shortness of breath or difficulty breathing,Predicted Suboptimal Energy Intake NI1.6,E44.0 Moderate protein-calorie malnutrition
Difficulty breathing:Heavy Labored ,Predicted Suboptimal Energy Intake NI1.6,E43 Unspecified Severe Protein-Calorie Malnutrition
Triceps:Some loose skin ,Inadequate energy intake NI-1.2,E44.0 Moderate protein-calorie malnutrition
Triceps:Thumb and finger easily touch together while pinching ,Inadequate energy intake NI-1.2,E43 Unspecified Severe Protein-Calorie Malnutrition
Hand:Slightly depressed cavity,Inadequate protein intake NI-5.7.1,E44.0 Moderate protein-calorie malnutrition
Hand:Severely depressed cavity,Inadequate protein intake NI-5.7.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Vomiting:< 5 days,Altered GI Function NC 1.4,E41 Nutritional Marasmus
Diarrhea:< 5 days,Altered GI Function NC 1.4,E41 Nutritional Marasmus
Diarrhea:> 5 days,Altered GI Function NC 1.4,E41 Nutritional Marasmus
Vomiting:> 5 days,Altered GI Function NC 1.4,E41 Nutritional Marasmus
"Nails:Moderate changes:half white/brown, brittle, concave spoon shape, or ridges",Inadequate Vitamin Intake NI 5.9.1,E64.8 Sequelae of Vitamin deficiency
"Nails:Severely brittle, concave spoon shape, or ridges",Inadequate Vitamin Intake NI 5.9.1,E64.8 Sequelae of Vitamin deficiency
Skin turgor - pinch test (recoil observation):< 2 seconds,Impaired Nutrient Utilization NC2.1,E41 Nutritional Marasmus
Skin turgor - pinch test (recoil observation):> 2 seconds,Impaired Nutrient Utilization NC2.1,E41 Nutritional Marasmus
Skin coloration:Moderate bruising,Inadequate Vitamin Intake NI 5.9.1,E64.2 Sequelae of Vitamin C deficiency
Skin coloration:Severe bruising,Inadequate Vitamin Intake NI 5.9.1,E64.2 Sequelae of Vitamin C deficiency
Pressure/decubitus ulcers:Stage I or II,Increased Nutrient (Protein) Needs NI 5.1,E64.9 Unspecified Protein-Calorie Malnutrition
Pressure/decubitus ulcers:Stage III or IV,Increased Nutrient (Protein) Needs NI 5.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Wounds:Clean or closed,Increased Nutrient (Protein) Needs NI 5.1,E64.9 Unspecified Protein-Calorie Malnutrition
Wounds:Contaminated/infected or open,Increased Nutrient (Protein) Needs NI 5.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Patella:Knee bone visible ,Inadequate energy intake NI-1.2,E44.0 Moderate protein-calorie malnutrition
"Patella:Knee bone prominent and/or square, qua muscle curves inward at knee joint",Inadequate energy intake NI-1.2,E43 Unspecified Severe Protein-Calorie Malnutrition
Gastrocnemius:Mildly developed muscle with somewhat spongy quality,Inadequate protein intake NI-5.7.1,E44.0 Moderate protein-calorie malnutrition
Gastrocnemius:Undeveloped muscle and spongy texture quality,Inadequate protein intake NI-5.7.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Ankle and foot - pitting observation:Moderate indentation < 30 seconds or < 6 mm deep,Inadquate protein intake NI 5.7.1,E 40 Kwashiorkor
Ankle and foot - pitting observation:Deep indentation > 30 seconds or > 6 mm deep,Inadquate protein intake NI 5.7.1,E 40 Kwashiorkor
Appetite:Moderate decrease (< 75% for > 7 days),Inadequate oral intake NI 2.1,E44.0 Moderate protein-calorie malnutrition
Appetite:Severe decrease (< 50% for > 5 days),Inadequate oral intake NI 2.1,E43 Unspecified Severe Protein-Calorie Malnutrition
Weight loss:Unintended weight loss < 10 pounds or < 5% in 1 month or < 7.5% in 3 months,Unintended weight loss NC3.2,E44.0 Moderate protein-calorie malnutrition
Weight loss:Unintended weight loss > 10 pounds or < 5% in 1 month or < 7.5% in 3 months,Unintended weight loss NC3.2,E43 Unspecified Severe Protein-Calorie Malnutrition
Weight gain:Unintended gain > 10 pounds,Overweight/Obesity NC3.3,"E66.9 Obesity, unspecified"
Weight gain:Unintended gain > 10 pounds in past 3 months,Overweight/Obesity NC3.3,"E66.9 Obesity, unspecified"
